Description ,Knowledge,Test ,With Calc or No Calc,Question link,Diff,Type,Q#,Catagory,Sub-catagory,MC,,Catagory ,subcatagory ,Rank,,
Understanding fractions and how to create them in word problems,Fractions,Test 4,W,Question 34,2,Word Problem,34,Heart of Algebra,Systems of Linear Equations Word Problems,150,,,,,,
Come up with a proportion of a population given a table,Interpret a table. understang proportions and percentages ,Test 1,W,Question 21,3,Charts,21,Problem Solving and Data Analysis,Table Data,C,,,,,,
Finding mean,Being able to interpret a table,Test 1,W,Question 22,3,Charts,22,Problem Solving and Data Analysis,Data Collection and Conclusions,B,,,,,,
Finding rations within a table,Being able to interpret a table,Test 1,W,Question 23,3,Charts,23,Problem Solving and Data Analysis,Data Collection and Conclusions,B,,,,,,
Make inferences based of a table and data,understand how to find average based on table,Test 1,W,Question 27,3,Charts,27,Problem Solving and Data Analysis,Table Data,C,,,,,,
Solving for proportions based on a table,working a table to find proportions and relationships between the data,Test 2,W,Question 20,3,Charts,20,Problem Solving and Data Analysis,Table Data,C,,,,,,
Figuring out a decrease over time,How to apply changes in percentage,Test 4,W,Question 22,3,Charts,22,Problem Solving and Data Analysis,"Ratios, rates, proportions",B,,,,,,
Interpreting a table,Standard deviation,Test 4,W,Question 23,3,Charts,23,Problem Solving and Data Analysis,Data Inferences,B,,,,,,
Explain parts of an equation,Know how an equation changes the properties of a line,Test 4,W,Question 27,3,Charts,27,Problem Solving and Data Analysis,Scatterplots,D,,,,,,
Finding the cos and sin of an angle,Interpreting cos and sine in a problem,Test 1,N,Question 19,3,Geometry,19,Additional Topics in Math,Angles Arc Lengths and Trig Functions,0.6,,,,,,
Solving for an equation for velovity as it relates to time,Being able to interpret a word problem to then plug in answers,Test 1,W,Question 24,3,Geometry,25,Additional Topics in Math,Circle Equations,A,,,,,,
using radians to solve word problems,understand what are and how to use radians,Test 2,N,Question 19,3,Geometry,19,Additional Topics in Math,Circle Equations,6,,,,,,
Using properties of a hexagon to solve for an adjacent square,Know how side lengths affect area.  use propeeties of one shape to solve for another,Test 2,W,Question 30,3,Geometry,30,Additional Topics in Math,Right Triangle Geometry,,,,,,,
finding relationships between angels given a discription,Congruency and determining angles of the same size given a description,Test 3,N,Question 11,3,Geometry,11,Additional Topics in Math,Angles Arc Lengths and Trig Functions,B,,,,,,
usisng descriptions of sides to solve for a value,"using sin, cos, verticies",Test 3,N,Question 20,3,Geometry,20,Additional Topics in Math,Right Triangle Word Problems,0.6,,,,,,
Finding value of a varibale in equations surrounding angles,Know relationship between Sin(a) and Cos(b) ,Test 3,W,Question 23,3,Geometry,23,Additional Topics in Math,Angles Arc Lengths and Trig Functions,C,,,,,,
Putting together two shapes to find volume,understanding volume and area,Test 3,W,Question 25,3,Geometry,25,Additional Topics in Math,Volume Word Problems,D,,,,,,
"Determining coordinates, given information about a line",Slope formula ,Test 3,W,Question 26,3,Geometry,26,Heart of Algebra,Graphing Linear Equation Word Problems,C,,,,,,
Finding a percent decrease,Be able to relate Length and Width,Test 3,W,Question 27,3,Geometry,27,Problem Solving and Data Analysis,"Ratios, rates, proportions",C,,,,,,
Using properties of a circle to solve for Diameter,"Diameter, arc length and properties of circle to make decision",Test 4,W,Question 24,3,Geometry,24,Additional Topics in Math,Angles Arc Lengths and Trig Functions,C,,,,,,
Finding the length of an angle given possible arc length,understand how arc length relates to angles in the shape.,Test 4,W,Question 36,3,Geometry,36,Additional Topics in Math,Angles Arc Lengths and Trig Functions,"29, 30, 31,32,33,34",,,,,,
Being able to read and graph Inequalities,Slope and the concept of quadrants ,Test 1,W,Question 28,3,Graphs,28,Heart of Algebra,Graphing Linear Equations,C,,,,,,
Determining factors,Understand the concept of a factor,Test 1,W,Question 29,3,Graphs,29,Passport to Advanced Math,Function Notation,D,,,,,,
Recognizing factors given graph of line,understanding how factors work,Test 1,W,Question 30,3,Graphs,30,Passport to Advanced Math,Nonlinear Equation Graphs,D,,,,,,
Determining slope given relationship ,"Knowing Slope, Quadrants",Test 2,W,Question 25,3,Graphs,25,Heart of Algebra,Graphing Linear Equation Word Problems,A,,,,,,
Understanding a graph,Understanding how points on a graph reflect Y and X inputs,Test 2,W,Question 26,3,Graphs,26,Passport to Advanced Math,Nonlinear Equation Graphs,D,,,,,,
Constructing perpendicular line,"Relating Diagonals of a Square, Perpendicular lines",Test 2,W,Question 28,3,Graphs,28,Heart of Algebra,Graphing Linear Equation Word Problems,B,,,,,,
Solve for a coordinate given an equation,Know terms such as vertex and how that relates to an equation,Test 3,N,Question 12,3,Graphs,12,Passport to Advanced Math,Solving Quadratic Equations,A,,,,,,
Applying an equation to a graph,Be able to find intercepts given the equation(s) of a line,Test 4,N,Question 13,3,Graphs,13,Passport to Advanced Math,Nonlinear Equation Graphs,B,,,,,,
Relating a histogram to a scatter plot,knowing how to graph data on a scatter plot vs histogram,Test 4,W,Question 21,3,Graphs,21,Problem Solving and Data Analysis,Scatterplots,C,,,,,,
How does a graph relate to an equation,How an equation relates to a graph an intepreting constants,Test 4,W,Question 30,3,Graphs,30,Passport to Advanced Math,Polynomial Factors and Graphs,D,,,,,,
Equating two seperate equations,manipulate equation to find similarities,Test 1,N,Question 13,3,Solving Equation/Expression,13,Passport to Advanced Math,Radical and Rational Equations,B,,,,,,
Solving for variables in a fraction,understand relationships within fractions,Test 1,N,Question 14,3,Solving Equation/Expression,14,Passport to Advanced Math,Radicals and Rational Exponents,A,,,,,,
Solving for variables in an equation,Understand how toe Foil and how numbers change final equation,Test 1,N,Question 15,3,Solving Equation/Expression,15,Passport to Advanced Math,Solving Quadratic Equations,D,,,,,,
Solving for X given two seperate equations,Understanding relationship between to equations,Test 1,N,Question 20,3,Solving Equation/Expression,20,Passport to Advanced Math,Radical and Rational Equations,100,,,,,,
Understanding impact on Mean Median and Mode,What are the Mean Median Mode and how do they work,Test 1,W,Question 25,3,Solving Equation/Expression,24,Passport to Advanced Math,Manipulating Quadratic and Exponential Expressions,D,,,,,,
Finding an equivalent expression,understanding how to manipulte fractions and irrational numbers,Test 2,N,Question 11,3,Solving Equation/Expression,11,Additional Topics in Math,Complex Numbers,C,,,,,,
Manipulating an equation to isolate variables,how to move variables across sides of an equation,Test 2,N,Question 12,3,Solving Equation/Expression,12,Passport to Advanced Math,Isolating Quantities,B,,,,,,
Solve for a variable in an equation,Can move around variables.  Can deal with moving powers/square roots,Test 2,N,Question 13,3,Solving Equation/Expression,13,Passport to Advanced Math,Solving Quadratic Equations,D,,,,,,
Finding the expression that is equal,know how to manipulate equations,Test 2,N,Question 15,3,Solving Equation/Expression,15,Passport to Advanced Math,Structure in Expressions,D,,,,,,
Being able to relate equations to determine variables,understanding how to relate vairables in an equation,Test 2,N,Question 20,3,Solving Equation/Expression,20,Heart of Algebra,Solving Systems of Linear Equations,0.25,,,,,,
Manipulate and equation ,Be able to move around variables within an equation ,Test 2,W,Question 22,3,Solving Equation/Expression,22,Passport to Advanced Math,Structure in Expressions,B,,,,,,
Solving for radius of a circle given the shapes equation,being able to relate the equation to radius,Test 2,W,Question 24,3,Solving Equation/Expression,24,Additional Topics in Math,Circle Equations,,,,,,,
Finding two constants in an equation,being able to tell what values satisfies a systems of equations,Test 2,W,Question 29,3,Solving Equation/Expression,29,Passport to Advanced Math,Linear and Quadratic Systems,B,,,,,,
plugging in variables to an equation,Feel comfortable worling with less straight forward equations and plugging in variables,Test 2,W,Question 37,3,Solving Equation/Expression,37,Problem Solving and Data Analysis,Units,3284,,,,,,
Manipulating equations to isolate variables,be able to move variables and numbers across equations,Test 3,N,Question 13,3,Solving Equation/Expression,13,Passport to Advanced Math,Operations with Rational Expressions,B,,,,,,
Solve for possible solutions in an equation,know how to factor and interpret the factoring,Test 3,N,Question 14,3,Solving Equation/Expression,14,Passport to Advanced Math,Solving Quadratic Equations,A,,,,,,
determining values given descriptions of variables,How to create linear equation given three variables and their relationship,Test 3,W,Question 22,3,Solving Equation/Expression,22,Heart of Algebra,Linear Equation Word Problems,B,,,,,,
Being able to solve for relationships between multiple variables in an equation,understanding how to relate vairables in an equation,Test 3,W,Question 30,3,Solving Equation/Expression,30,Heart of Algebra,Solving Systems of Linear Equations,A,,,,,,
How many ordered pair satisfy and equation,being able to tell what values satisfies a systems of equations,Test 4,N,Question 11,3,Solving Equation/Expression,11,Passport to Advanced Math,Linear and Quadratic Systems,C,,,,,,
condensing two parts of a fraction,be able to condense fractions,Test 4,N,Question 14,3,Solving Equation/Expression,14,Additional Topics in Math,Complex Numbers,A,,,,,,
Find the variable given an equation and constants,Know how to deal with constants,Test 4,N,Question 15,3,Solving Equation/Expression,15,Passport to Advanced Math,Structure in Expressions,B,,,,,,
Being able to plug in coordinates to solve equations,"Know the (x,y) format  Relate equations",Test 4,N,Question 19,3,Solving Equation/Expression,19,Heart of Algebra,Solving Systems of Linear Equations,0,,,,,,
What function satisfies the factor,how to divide through factors,Test 4,W,Question 25,3,Solving Equation/Expression,25,Passport to Advanced Math,Function Notation,B,,,,,,
"given a condition relating two valiables, what must be true ",understanding inequalities,Test 4,W,Question 26,3,Solving Equation/Expression,26,Heart of Algebra,Solving Linear Inequalities,C,,,,,,
Expanding factors into a larger function,how to do FOIL,Test 4,W,Question 28,3,Solving Equation/Expression,28,Passport to Advanced Math,Function Notation,D,,,,,,
Determining Average of several expressions,Understanding averages,Test 4,W,Question 29,3,Solving Equation/Expression,29,Heart of Algebra,Solving Linear Equations,B,,,,,,
Finding a number based on a % increase,How to calculate the number you get from a % increase,Test 1,W,Question 26,3,Word Problem,26,Problem Solving and Data Analysis,Percents,B,,,,,,
Determining part of an equation,What do variables represent in word problems,Test 1,W,Question 37,3,Word Problem,37,Passport to Advanced Math,Manipulating Quadratic and Exponential Expressions,1.02,,,,,,
Plugging numbers into an equation,Understanding parts of an equation given a word problem,Test 1,W,Question 38,3,Word Problem,38,Passport to Advanced Math,Quadratic and Exponential Word Problems,6.11,,,,,,
Creating an equation given a word problem,Understanding rate and applying to exponential equations,Test 2,N,Question 14,3,Word Problem,14,Passport to Advanced Math,Quadratic and Exponential Word Problems,A,,,,,,
Convering Word problem involving time into inequality,converting senario to inequaltiy ,Test 2,W,Question 21,3,Word Problem,21,Heart of Algebra,Linear Inequality Word Problems,D,,,,,,
Solving for a relationship between two variables,being able to input the correct variables given a description,Test 2,W,Question 23,3,Word Problem,23,Passport to Advanced Math,Interpreting Nonlinear Expressions,A,,,,,,
Comparing data from a test,Being able to compare and contrast two seperate lines of data,Test 2,W,Question 27,3,Word Problem,27,Problem Solving and Data Analysis,Scatterplots,D,,,,,,
"plugging in variables to an equation,  Also manipulate the equation",Feel comfortable worling with less straight forward equations and plugging in variables,Test 2,W,Question 38,3,Word Problem,38,Problem Solving and Data Analysis,Units,7500,,,,,,
Understanding how an equation works in order to determine if a description is true or false,Understanding relationships within the equation,Test 3,N,Question 15,3,Word Problem,15,Heart of Algebra,Interpreting Linear Functions,D,,,,,,
Determining the growth,Understanding how exponential growth works,Test 3,W,Question 21,3,Word Problem,21,Problem Solving and Data Analysis,Data Collection and Conclusions,C,,,,,,
Solving word Problems,how to fill in variables and rate given a word problem,Test 3,W,Question 24,3,Word Problem,24,Heart of Algebra,Linear Equation Word Problems,D,,,,,,
Creating a equations given a word problem,know how to assign variables from a word problem into an equation,Test 3,W,Question 28,3,Word Problem,28,Passport to Advanced Math,Manipulating Quadratic and Exponential Expressions,D,,,,,,
interpreting a description to fill out a table,understanding ratios to then use to fill out a table,Test 3,W,Question 29,3,Word Problem,29,Problem Solving and Data Analysis,Table Data,A,,,,,,
,,Test 3,W,Question 37,3,Word Problem,37,Problem Solving and Data Analysis,"Ratios, rates, proportions",7,,,,,,
,,Test 3,W,Question 38,3,Word Problem,38,Problem Solving and Data Analysis,"Ratios, rates, proportions",60,,,,,,
Creating a formula of a line given a discriptipion,"understanding properties of a line (slope, Intercept) in real world scenarios",Test 4,N,Question 12,3,Word Problem,12,Heart of Algebra,Linear Function Word Problems,C,,,,,,
Creating a formula of a line given a discriptipion,Being able to recognize points and when to find slope,Test 4,N,Question 20,3,Word Problem,20,Heart of Algebra,Linear Function Word Problems,25,,,,,,
Creating a ratio based on a word problem,,Test 4,W,Question 35,3,Word Problem,35,Passport to Advanced Math,Quadratic and Exponential Word Problems,2.25,,,,,,
Solving for a variable given a word problem,Understand percentages and time value of money,Test 4,W,Question 37,3,Word Problem,37,Passport to Advanced Math,Quadratic and Exponential Word Problems,0.72,,,,,,
Solving for a variable given a word problem,Understand percentages and time value of money,Test 4,W,Question 38,3,Word Problem,38,Passport to Advanced Math,Quadratic and Exponential Word Problems,134,,,,,,
